ID,Attribute,Value
27,Dimensions,138 x 100 x 100 mm (5.45 x 3.95 x 3.92″)
28,Body type,SLR-style mirrorless
28,Max resolution,5184 x 3888
28,Effective pixels,20 megapixels
28,Sensor size,Four Thirds (17.4 x 13 mm)
28,Sensor type,Stacked CMOS
28,ISO,"Auto, 80-25600 (expands to 80-102400)"
28,Lens mount,Micro Four Thirds
28,Focal length mult.,2×
28,Articulated LCD,Fully articulated
28,Screen size,3″
28,Max shutter speed,1/8000 sec
28,Format,"MPEG-4, H.264, H.265"
28,Storage types,"SD, SDHC (UHS-I/II), SDXC (UHS-I/II)"
28,USB,USB 3.0 (5 GBit/sec)
28,Weight (inc. batteries),599 g (1.32 lb / 21.13 oz)
28,Dimensions,135 x 92 x 73 mm (5.31 x 3.62 x 2.87″)
28,GPS,None
29,Body type,SLR-style mirrorless
29,Max resolution,8192 x 5464
29,Effective pixels,45 megapixels
29,Sensor size,Full frame (36 x 24 mm)
29,Sensor type,CMOS
29,ISO,"Yes, 100-51200 (expands to 102400)"
29,Lens mount,Canon RF
29,Focal length mult.,1×
29,Articulated LCD,Fully articulated
29,Screen size,3.2″
29,Screen dots,"2,100,000"
29,Max shutter speed,1/8000 sec
29,Format,"MPEG-4, XF-AVC, H.264, H.265"
29,Storage types,CFexpress B and SD (UHS-II) slots
29,USB,USB 3.2 Gen 2 (10 GBit/sec)
29,Weight (inc. batteries),770 g (1.70 lb / 27.16 oz)
29,Dimensions,142 x 101 x 111 mm (5.59 x 3.98 x 4.37″)
29,GPS,None
30,Body type,Large SLR
30,Max resolution,9528 x 6328
30,Effective pixels,60 megapixels
30,Sensor size,Full frame (36 x 24 mm)
30,Sensor type,BSI-CMOS
30,ISO,"Auto, 64-50000"
30,Lens mount,Leica M
30,Focal length mult.,1×
30,Articulated LCD,Fully articulated
30,Screen size,3″
30,Screen dots,"2,332,800"
30,Max shutter speed,1/4000 sec
30,Storage types,UHS II type SD
30,USB,USB 3.2 Gen 1 (5 GBit/sec)
30,Weight (inc. batteries),640 g (1.41 lb / 22.58 oz)
30,Dimensions,139 x 39 x 80 mm (5.47 x 1.54 x 3.15″)
30,GPS,Optional
31,Body type,SLR-style mirrorless
31,Max resolution,8256 x 5504
31,Effective pixels,46 megapixels
31,Sensor size,Full frame (35.9 x 23.9 mm)
31,Sensor type,Stacked CMOS
31,Lens mount,Nikon Z
31,Articulated LCD,Tilting
31,Screen size,3.2″
31,Screen dots,"2,088,960"
31,Max shutter speed,1/32000 sec
31,Format,"H.264, H.265"
31,USB,USB 3.2 Gen 1 (5 GBit/sec)
31,Weight (inc. batteries),1340 g (2.95 lb / 47.27 oz)
31,Dimensions,149 x 150 x 91 mm (5.87 x 5.91 x 3.58″)
31,GPS,Built-in
32,Body type,SLR-style mirrorless
32,Max resolution,7008 x 4672
32,Effective pixels,33 megapixels
32,Sensor size,Full frame (35.6 x 23.8 mm)
32,Sensor type,BSI-CMOS
32,ISO,"Auto, 100-51200 (expands to 50-204800)"
32,Lens mount,Sony E
32,Focal length mult.,1×
32,Articulated LCD,Fully articulated
32,Screen size,3″
32,Screen dots,"1,036,800"
32,Max shutter speed,1/8000 sec
32,Format,"MPEG-4, XAVC S, XAVC HS, XAVC S-I, H.264, H.265"
32,Storage types,"One CFexpress Type A/UHS-II SD, One UHS-II SD"
32,USB,USB 3.2 Gen 2 (10 GBit/sec)
32,Weight (inc. batteries),659 g (1.45 lb / 23.25 oz)
32,Dimensions,131 x 96 x 80 mm (5.16 x 3.78 x 3.15″)
32,GPS,None
33,Body type,Rangefinder-style mirrorless
33,Max resolution,6000 x 4000
33,Effective pixels,24 megapixels
33,Sensor size,Full frame (35.6 x 23.8 mm)
33,Sensor type,CMOS
33,ISO,"Auto, 100-51200 (expands to 50-204800)"
33,Lens mount,Leica L
33,Focal length mult.,1×
33,Articulated LCD,No
33,Max shutter speed,1/8000 sec
33,Format,"MPEG-4, H.264, H.265"
33,Storage types,Dual SD/SDHC/SDXC slots (UHS-II supported)
33,USB,USB 3.2 Gen 1 (5 GBit/sec)
33,Weight (inc. batteries),585 g (1.29 lb / 20.64 oz)
33,Dimensions,93 x 93 x 79 mm (3.66 x 3.66 x 3.1″)
33,GPS,None
34,Body type,Large sensor compact
34,Max resolution,6000 x 4000
34,Effective pixels,24 megapixels
34,Sensor size,APS-C (23.5 x 15.6 mm)
34,Sensor type,CMOS
34,ISO,"Auto, 100-102400"
34,Focal length (equiv.),40 mm
34,Articulated LCD,Fixed
34,Screen size,3″
34,Screen dots,"1,037,000"
34,Max shutter speed,1/4000 sec
34,Format,"MPEG-4, H.264"
34,Storage types,"Internal, SD/SDHC/SDXC card (UHS-I supported)"
34,USB,USB 3.2 Gen 1 (5 GBit/sec)
34,Weight (inc. batteries),262 g (0.58 lb / 9.24 oz)
34,Dimensions,109 x 62 x 35 mm (4.29 x 2.44 x 1.38″)
34,GPS,None
35,Body type,SLR-style mirrorless
35,Max resolution,8256 x 6192
35,Effective pixels,51 megapixels
35,Sensor size,Medium format (44 x 33 mm)
35,Sensor type,CMOS
35,ISO,"Auto, 100-12800 (expands to 50-102400)"
35,Lens mount,Fujifilm G
35,Focal length mult.,0.79×
35,Articulated LCD,Tilting
35,Screen size,3.2″
35,Screen dots,"2,360,000"
35,Max shutter speed,1/4000 sec
35,Format,"MPEG-4, H.264"
35,Storage types,Dual SD/SDHC/SDXC cards (UHS-II supported)
35,USB,USB 3.2 Gen 1 (5 GBit/sec)
35,Weight (inc. batteries),900 g (1.98 lb / 31.75 oz)
35,Dimensions,150 x 104 x 87 mm (5.91 x 4.09 x 3.43″)
35,GPS,None
36,Body type,SLR-style mirrorless
36,Max resolution,6240 x 4160
36,Effective pixels,26 megapixels
36,Sensor size,APS-C (23.5 x 15.6 mm)
36,Sensor type,BSI-CMOS
36,ISO,"Auto, 160-12800 (expands to 80-51200)"
36,Lens mount,Fujifilm X
36,Focal length mult.,1.5×
36,Articulated LCD,Tilting
36,Screen size,3″
36,Screen dots,"1,040,000"
36,Max shutter speed,1/4000 sec
36,Format,"MPEG-4, H.264"
36,Storage types,SD/SDHC/SDXC card (UHS-I supported)
36,USB,USB 3.2 Gen 1 (5 GBit/sec)
36,Weight (inc. batteries),383 g (0.84 lb / 13.51 oz)
36,Dimensions,118 x 83 x 47 mm (4.65 x 3.27 x 1.85″)
36,GPS,None
37,Body type,Rangefinder-style mirrorless
37,Max resolution,6000 x 4000
37,Effective pixels,24 megapixels
37,Sensor size,APS-C (23.5 x 15.6 mm)
37,Sensor type,CMOS
37,ISO,"Auto, 100-32000 (expands to 50-51200)"
37,Lens mount,Sony E
37,Focal length mult.,1.5×
37,Articulated LCD,Fully articulated
37,Screen size,3″
37,Screen dots,"920,000"
37,Max shutter speed,1/4000 sec
37,Format,"MPEG-4, XAVC S, H.264"
37,Storage types,SD/SDHC/SDXC + Memory Stick Pro Duo
37,USB,USB 3.2 Gen 1 (5 GBit/sec)
37,Weight (inc. batteries),343 g (0.76 lb / 12.10 oz)
37,Dimensions,115 x 64 x 45 mm (4.53 x 2.52 x 1.77″)
37,GPS,None
38,Body type,SLR-style mirrorless
38,Max resolution,5568 x 3712
38,Effective pixels,21 megapixels
38,Sensor size,APS-C (23.5 x 15.7 mm)
38,Sensor type,CMOS
38,ISO,"Auto, 100-51200 (expands to 100-204800)"
38,Lens mount,Nikon Z
38,Focal length mult.,1.5×
38,Articulated LCD,Fully articulated
38,Screen size,3″
38,Screen dots,"1,040,000"
38,Max shutter speed,1/4000 sec
38,Format,"MPEG-4, H.264"
38,Storage types,SD/SDHC/SDXC (UHS-I supported)
