ID,Attribute,Value
44,Format,"MPEG-4, H.264"
44,Storage types,Dual SD/SDHC/SDXC slots (UHS-II supported in slot 1)
44,USB,USB 3.2 Gen 1 (5 GBit/sec)
44,Weight (inc. batteries),820 g (1.81 lb / 28.92 oz)
44,Dimensions,135 x 104 x 74 mm (5.31 x 4.09 x 2.91″)
44,GPS,None
45,Body type,Rangefinder-style mirrorless
45,Max resolution,9520 x 6328
45,Effective pixels,61 megapixels
45,Sensor size,Full frame (36 x 24 mm)
45,Sensor type,BSI-CMOS
45,ISO,100-25600 (expands to 6-102400)
45,Lens mount,Leica L
45,Focal length mult.,1×
45,Articulated LCD,Fixed
45,Screen size,3.2″
45,Screen dots,"2,100,000"
45,Max shutter speed,1/8000 sec
45,Format,"MPEG-4, H.264"
45,Storage types,SD/SDHC/SDXC (UHS-II supported)
45,USB,USB 3.2 Gen 1 (5 GBit/sec)
45,Weight (inc. batteries),427 g (0.94 lb / 15.06 oz)
45,Dimensions,113 x 70 x 45 mm (4.45 x 2.76 x 1.77″)
45,GPS,None
46,Body type,SLR-style mirrorless
46,Max resolution,11648 x 8736
46,Effective pixels,102 megapixels
46,Sensor size,Medium format (44 x 33 mm)
46,Sensor type,BSI-CMOS
46,ISO,"Auto, 100-12800 (expands to 50-102400)"
46,Lens mount,Fujifilm G
46,Focal length mult.,0.79×
46,Articulated LCD,Tilting
46,Screen size,3.2″
46,Screen dots,"2,360,000"
46,Max shutter speed,1/4000 sec
46,Format,"MPEG-4, H.264, H.265"
46,Storage types,Dual SD/SDHC/SDXC cards (UHS-II supported)
46,USB,USB 3.2 Gen 1 (5 GBit/sec)
46,Weight (inc. batteries),900 g (1.98 lb / 31.75 oz)
46,Dimensions,150 x 104 x 87 mm (5.91 x 4.09 x 3.43″)
46,GPS,None
47,Body type,Rangefinder-style mirrorless
47,Max resolution,6240 x 4160
47,Effective pixels,26 megapixels
47,Sensor size,APS-C (23.5 x 15.6 mm)
47,Sensor type,BSI-CMOS
47,ISO,"Auto, 160-12800 (expands to 80-51200)"
47,Lens mount,Fujifilm X
47,Focal length mult.,1.5×
47,Articulated LCD,Tilting
47,Screen size,3″
47,Screen dots,"1,620,000"
47,Max shutter speed,1/4000 sec
47,Format,"MPEG-4, H.264"
47,USB,USB 3.2 Gen 1 (5 GBit/sec)
47,Weight (inc. batteries),364 g (0.80 lb / 12.84 oz)
47,Dimensions,121 x 73 x 33 mm (4.76 x 2.87 x 1.3″)
47,GPS,None
48,Body type,SLR-style mirrorless
48,Max resolution,8640 x 5760
48,Effective pixels,50 megapixels
48,Sensor size,Full frame (35.9 x 24 mm)
48,Sensor type,Stacked CMOS
48,ISO,"Auto, 100-32000 (expands to 50-102400)"
48,Lens mount,Sony E
48,Focal length mult.,1×
48,Articulated LCD,Tilting
48,Screen size,3″
48,Screen dots,"1,440,000"
48,Max shutter speed,1/8000 sec
48,Format,"XAVC S, XAVC HS, XAVC S-I, H.264, H.265"
48,Storage types,Dual SD/CFexpress Type A slots (UHS-II supported)
48,USB,USB 3.2 Gen 2 (10 GBit/sec)
48,Weight (inc. batteries),737 g (1.62 lb / 26.00 oz)
48,Dimensions,129 x 97 x 81 mm (5.08 x 3.82 x 3.19″)
48,GPS,None
49,Body type,SLR-style mirrorless
49,Max resolution,6000 x 4000
49,Effective pixels,24 megapixels
49,Sensor size,Full frame (36 x 24 mm)
49,Sensor type,CMOS
49,ISO,"Auto, 100-50000 (expands to 50-50000)"
49,Lens mount,Leica L
49,Focal length mult.,1×
49,Articulated LCD,Fixed
49,Screen size,3.2″
49,Screen dots,"2,100,000"
49,Max shutter speed,1/8000 sec
49,Format,"MPEG-4, H.264"
49,USB,USB 3.2 Gen 1 (5 GBit/sec)
49,Weight (inc. batteries),931 g (2.05 lb / 32.84 oz)
49,Dimensions,146 x 107 x 83 mm (5.75 x 4.21 x 3.27″)
49,GPS,None
50,Body type,SLR-style mirrorless
50,Max resolution,4608 x 3456
50,Effective pixels,16 megapixels
50,Sensor size,Four Thirds (17.4 x 13 mm)
50,Sensor type,CMOS
50,ISO,"Auto, 200-25600 (expands to 100-25600)"
50,Lens mount,Micro Four Thirds
50,Focal length mult.,2×
50,Articulated LCD,Tilting
50,Screen size,3″
50,Screen dots,"1,040,000"
50,Max shutter speed,1/4000 sec
50,Format,"MPEG-4, H.264"
50,Storage types,SD/SDHC/SDXC (UHS-I/II supported)
50,USB,USB 2.0 (480 Mbit/sec)
50,Weight (inc. batteries),411 g (0.91 lb / 14.50 oz)
50,Dimensions,122 x 84 x 50 mm (4.8 x 3.31 x 1.97″)
50,GPS,None
51,Body type,Large sensor compact
51,Max resolution,8368 x 5584
51,Effective pixels,47 megapixels
51,Sensor size,Full frame (36 x 24 mm)
51,Sensor type,CMOS
51,ISO,"Auto, 100-100000"
51,Focal length (equiv.),28 mm
51,Max aperture,F1.7
51,Focal length mult.,1×
51,Articulated LCD,Fixed
51,Screen size,3″
51,Screen dots,"1,040,000"
51,Max shutter speed,1/2000 sec
51,Format,"MPEG-4, H.264"
51,Storage types,SD/SDHC/SDXC (UHS-II supported)
51,Weight (inc. batteries),734 g (1.62 lb / 25.89 oz)
51,Dimensions,130 x 80 x 92 mm (5.12 x 3.15 x 3.62″)
51,GPS,None
54,Body type,SLR-style mirrorless
54,Max resolution,6240 x 4160
54,Effective pixels,26 megapixels
54,Sensor size,APS-C (23.5 x 15.6 mm)
54,Sensor type,BSI-CMOS
54,ISO,"Auto, 160-12800 (expands to 80-51200)"
54,Lens mount,Fujifilm X
54,Focal length mult.,1.5×
54,Articulated LCD,Fully articulated
54,Screen size,3″
54,Screen dots,"1,040,000"
54,Max shutter speed,1/4000 sec
54,Format,"MPEG-4, H.264"
54,Storage types,SD/SDHC/SDXC slot (UHS-I supported)
54,USB,USB 3.2 Gen 1 (5 GBit/sec)
54,Weight (inc. batteries),465 g (1.03 lb / 16.40 oz)
54,Dimensions,126 x 85 x 65 mm (4.96 x 3.35 x 2.56″)
54,GPS,None
55,Body type,SLR-style mirrorless
55,Max resolution,6048 x 4024
55,Effective pixels,25 megapixels
55,Sensor size,Full frame (35.9 x 23.9 mm)
55,Sensor type,BSI-CMOS
55,ISO,"Auto, 100-51200 (expands to 50-204800)"
55,Lens mount,Nikon Z
55,Focal length mult.,1×
55,Articulated LCD,Tilting
55,Screen size,3.2″
55,Screen dots,"2,100,000"
55,Max shutter speed,1/8000 sec
55,Format,"MPEG-4, H.264"
55,Storage types,"CFexpress Type B / XQD, UHS-II SD"
55,USB,USB 3.2 Gen 1 (5 GBit/sec)
55,Weight (inc. batteries),705 g (1.55 lb / 24.87 oz)
55,Dimensions,134 x 101 x 70 mm (5.28 x 3.98 x 2.76″)
55,GPS,None
56,Body type,SLR-style mirrorless
56,Max resolution,8256 x 5504
56,Effective pixels,46 megapixels
56,Sensor size,Full frame (35.9 x 23.9 mm)
56,Sensor type,CMOS
56,ISO,"Auto, 64-25600 (expands to 32-102400)"
56,Lens mount,Nikon Z
56,Focal length mult.,1×
56,Articulated LCD,Tilting
56,Screen size,3.2″
56,Screen dots,"2,100,000"
56,Max shutter speed,1/8000 sec
56,Format,"MPEG-4, H.264"
56,Storage types,"CFexpress Type B / XQD, UHS-II SD"
56,USB,USB 3.2 Gen 1 (5 GBit/sec)
56,Weight (inc. batteries),705 g (1.55 lb / 24.87 oz)
56,Dimensions,134 x 101 x 70 mm (5.28 x 3.98 x 2.76″)
56,GPS,None
57,Body type,SLR-style mirrorless
57,Max resolution,6000 x 4000
57,Effective pixels,24 megapixels
57,Sensor size,APS-C (22.3 x 14.9 mm)
57,Sensor type,CMOS
57,ISO,"Auto, 100-25600 (expands to 51200)"
57,Lens mount,Canon EF-M
57,Focal length mult.,1.6×
57,Articulated LCD,Fully articulated
57,Screen size,3″
57,Screen dots,"1,040,000"
57,Max shutter speed,1/4000 sec
57,Format,"MPEG-4, H.264"
57,Storage types,SD/SDHC/SDXC slot (UHS-I compatible)
57,USB,USB 2.0 (480 Mbit/sec)
57,Weight (inc. batteries),387 g (0.85 lb / 13.65 oz)
57,Dimensions,116 x 88 x 59 mm (4.57 x 3.46 x 2.32″)
57,GPS,None
58,Body type,Compact
58,Max resolution,4000 x 3000
58,Effective pixels,12 megapixels
58,Sensor size,"1/3"" (4.8 x 3.6 mm)"
58,Sensor type,CMOS
58,Focal length (equiv.),100–400 mm
58,Max aperture,F5.6–6.3
58,Articulated LCD,No
58,Format,"MPEG-4, H.264"
58,Storage types,MicroSD
58,USB,USB 2.0 (480 Mbit/sec)
58,Weight (inc. batteries),145 g (0.32 lb / 5.11 oz)
58,Dimensions,33 x 51 x 103 mm (1.31 x 2 x 4.06″)
59,Body type,Rangefinder-style mirrorless
59,Max resolution,3680 x 2760
59,Effective pixels,10 megapixels
59,Sensor size,Four Thirds (19.2 x 13 mm)
59,Sensor type,CMOS
59,ISO,"Auto, 160-51200 (expands to 80-204800)"
59,Lens mount,Micro Four Thirds
59,Focal length mult.,2×
59,Articulated LCD,No
59,Max shutter speed,1/16000 sec
59,Format,"MPEG-4, H.264, H.265"
59,Storage types,Dual SD/SDHC/SDXC slots (UHS-II supported)
59,USB,USB 3.2 Gen 1 (5 GBit/sec)
59,Weight (inc. batteries),545 g (1.20 lb / 19.22 oz)
59,Dimensions,93 x 93 x 78 mm (3.66 x 3.66 x 3.07″)
59,GPS,None
60,Body type,VR/Action camera
60,Effective pixels,20 megapixels
60,Articulated LCD,Fixed
60,Screen size,1.4″
60,USB,USB 3.2 Gen 1 (5 GBit/sec)
60,Weight (inc. batteries),158 g (0.35 lb / 5.57 oz)
60,Dimensions,71 x 55 x 34 mm (2.8 x 2.17 x 1.34″)
60,GPS,Built-in
61,Body type,Rangefinder-style mirrorless
61,Max resolution,6000 x 4000
61,Effective pixels,24 megapixels
61,Sensor size,Full frame (35.6 x 23.8 mm)
61,Sensor type,BSI-CMOS
61,ISO,"Auto, 100-51200 (expands to 50-204800)"
61,Lens mount,Sony E
61,Focal length mult.,1×
61,Articulated LCD,Fully articulated
61,Screen size,3″
61,Screen dots,"921,600"
61,Max shutter speed,1/4000 sec
61,Format,"MPEG-4, XAVC S, H.264"
61,Storage types,SD/SDHC/SDXC card (UHS-II supported)
61,USB,USB 3.2 Gen 1 (5 GBit/sec)
61,Weight (inc. batteries),509 g (1.12 lb / 17.95 oz)
61,Dimensions,124 x 71 x 60 mm (4.88 x 2.8 x 2.36″)
62,Body type,SLR-style mirrorless
62,Max resolution,6000 x 4000
62,Effective pixels,24 megapixels
62,Sensor size,Full frame (35.6 x 23.8 mm)
62,Sensor type,CMOS
62,ISO,"Auto, 100-51200 (expands to 50-204800)"
62,Lens mount,Leica L
62,Focal length mult.,1×
62,Articulated LCD,Fully articulated
62,Screen size,3″
62,Screen dots,"1,840,000"
62,Max shutter speed,1/8000 sec
62,Format,"MPEG-4, H.264, H.265"
62,Storage types,Dual SD/SDHC/SDXC slots (UHS-II supported in slot 1)
62,USB,USB 3.2 Gen 1 (5 GBit/sec)
62,Weight (inc. batteries),714 g (1.57 lb / 25.19 oz)
62,Dimensions,133 x 97 x 82 mm (5.24 x 3.82 x 3.23″)
62,GPS,None
63,Body type,SLR-style mirrorless
63,Max resolution,5184 x 3888
63,Effective pixels,20 megapixels
63,Sensor size,Four Thirds (17.4 x 13 mm)
63,Sensor type,CMOS
63,ISO,"Auto, 200-25600 (expands to 100-25600)"
63,Lens mount,Micro Four Thirds
63,Focal length mult.,2×
63,Articulated LCD,Tilting
63,Screen size,3″
63,Screen dots,"1,040,000"
63,Max shutter speed,1/4000 sec
63,Format,"MPEG-4, H.264"
63,Storage types,SD/SDHC/SDXC (UHS-II supported)
63,USB,USB 2.0 (480 Mbit/sec)
63,Weight (inc. batteries),383 g (0.84 lb / 13.51 oz)
63,Dimensions,122 x 84 x 49 mm (4.8 x 3.31 x 1.93″)
63,GPS,None
64,Body type,SLR-style mirrorless
64,Max resolution,4240 x 2832
64,Effective pixels,12 megapixels
64,Sensor size,Full frame (35.6 x 23.8 mm)
64,Sensor type,BSI-CMOS
64,ISO,"Auto, 80-102400 (expands to 40-409600)"
64,Lens mount,Sony E
64,Focal length mult.,1×
64,Articulated LCD,Fully articulated
64,Screen size,3″
64,Screen dots,"1,440,000"
64,Max shutter speed,1/8000 sec
64,Format,"MPEG-4, XAVC S, XAVC HS, XAVC S-I, H.264, H.265"
64,Storage types,Dual UHS-II SD/CFexpress Type A slots
64,USB,USB 3.2 Gen 1 (5 GBit/sec)
64,Weight (inc. batteries),699 g (1.54 lb / 24.66 oz)
64,Dimensions,129 x 97 x 81 mm (5.08 x 3.82 x 3.19″)
64,GPS,None
65,Body type,SLR-style mirrorless
65,Max resolution,6016 x 4016
65,Effective pixels,24 megapixels
65,Sensor size,Full frame (35.9 x 23.9 mm)
65,Sensor type,CMOS
65,ISO,"Auto, 100-51200 (expands to 50-102400)"
65,Focal length mult.,1×
65,Articulated LCD,Tilting
65,Screen size,3.2″
65,Screen dots,"1,040,000"
65,Max shutter speed,1/8000 sec
65,Format,"MPEG-4, H.264"
65,Storage types,Dual SD/SDHC/SDXC slots (UHS-II compatible)
65,USB,USB 3.2 Gen 1 (5 GBit/sec)
65,Weight (inc. batteries),675 g (1.49 lb / 23.81 oz)
65,Dimensions,134 x 101 x 70 mm (5.28 x 3.98 x 2.76″)
65,GPS,None
66,Body type,Rangefinder-style mirrorless
66,Max resolution,7864 x 5200
66,Effective pixels,41 megapixels
66,Sensor size,Full frame (36 x 24 mm)
66,Sensor type,CMOS
66,ISO,"Auto, 100-50000"
66,Lens mount,Leica M
66,Focal length mult.,1×
66,Articulated LCD,Fully articulated
66,Screen size,3″
66,Screen dots,"1,036,800"
66,Max shutter speed,1/4000 sec
66,Storage types,SD/SDHC/SDXC card
66,Weight (inc. batteries),660 g (1.46 lb / 23.28 oz)
66,Dimensions,139 x 39 x 80 mm (5.47 x 1.54 x 3.15″)
66,GPS,Optional
67,Body type,SLR-style mirrorless
67,Max resolution,8192 x 5464
67,Effective pixels,45 megapixels
67,Sensor size,Full frame (36 x 24 mm)
67,Sensor type,CMOS
67,ISO,"Yes, 100-51200 (expands to 102400)"
67,Lens mount,Canon RF
67,Focal length mult.,1×
67,Articulated LCD,Fully articulated
67,Screen size,3.2″
67,Screen dots,"2,100,000"
67,Max shutter speed,1/8000 sec
67,Format,"MPEG-4, H.264, H.265"
67,Storage types,CFexpress and SD (UHS-II) slots
67,USB,USB 3.2 Gen 2 (10 GBit/sec)
67,Weight (inc. batteries),738 g (1.63 lb / 26.03 oz)
67,Dimensions,138 x 98 x 88 mm (5.43 x 3.84 x 3.46″)
67,GPS,None
68,Body type,SLR-style mirrorless
68,Max resolution,5472 x 3648
68,Effective pixels,20 megapixels
68,Sensor size,Full frame (36 x 24 mm)
68,Sensor type,CMOS
68,ISO,"Yes, 100-102400 (expands to 204800)"
68,Lens mount,Canon RF
68,Focal length mult.,1×
68,Articulated LCD,Fully articulated
68,Screen size,3″
68,Screen dots,"1,620,000"
68,Max shutter speed,1/8000 sec
68,Format,"MPEG-4, H.264, H.265"
68,Storage types,Dual SD slots (UHS-II supported)
68,USB,USB 3.2 Gen 2 (10 GBit/sec)
68,Weight (inc. batteries),680 g (1.50 lb / 23.99 oz)
68,Dimensions,138 x 98 x 88 mm (5.43 x 3.84 x 3.48″)
68,GPS,None
69,Body type,SLR-style mirrorless
69,Max resolution,5184 x 3888
69,Effective pixels,20 megapixels
69,Sensor size,Four Thirds (17.3 x 13 mm)
69,Sensor type,CMOS
69,ISO,"Auto, 200-25600 (expands down to ISO 100)"
69,Lens mount,Micro Four Thirds
69,Focal length mult.,2×
69,Articulated LCD,Fully articulated
69,Screen size,3″
69,Screen dots,"1,840,000"
69,Max shutter speed,1/500 sec
69,Format,"MPEG-4, H.264"
69,Storage types,SD/SDHC/SDXC card (UHS-I supported)
69,USB,USB 2.0 (480 Mbit/sec)
69,Weight (inc. batteries),352 g (0.78 lb / 12.42 oz)
69,Dimensions,116 x 83 x 54 mm (4.57 x 3.27 x 2.13″)
69,GPS,None
70,Body type,Compact
70,Max resolution,5472 x 3648
70,Effective pixels,20 megapixels
70,Sensor size,1″ (13.2 x 8.8 mm)
70,Sensor type,BSI-CMOS
70,ISO,"Auto, 125-12800"
70,Focal length (equiv.),24–70 mm
70,Max aperture,F1.8–2.8
70,Articulated LCD,Fully articulated
70,Screen size,3″
70,Screen dots,"921,600"
70,Max shutter speed,1/2000 sec
70,Format,"MPEG-4, AVCHD, XAVC S"
70,Storage types,"SD/ SDHC/SDXC, Memory Stick Pro Duo/ Pro-HG Duo"
70,USB,USB 2.0 (480 Mbit/sec)
70,Weight (inc. batteries),294 g (0.65 lb / 10.37 oz)
70,Dimensions,105 x 60 x 44 mm (4.13 x 2.36 x 1.73″)
70,GPS,None
71,Body type,SLR-style mirrorless
71,Max resolution,6240 x 4160
71,Effective pixels,26 megapixels
71,Sensor size,APS-C (23.5 x 15.6 mm)
71,Sensor type,BSI-CMOS
71,ISO,"Auto, 160-12800 (expands to 80-51200)"
71,Lens mount,Fujifilm X
71,Focal length mult.,1.5×
71,Articulated LCD,Fully articulated
71,Screen size,3″
71,Screen dots,"1,620,000"
71,Max shutter speed,1/8000 sec
71,Format,"MPEG-4, H.264, H.265"
71,Storage types,Dual SD/SDHC/SDXC card slots (UHS-II supported)
71,USB,USB 3.2 Gen 1 (5 GBit/sec)
71,Weight (inc. batteries),607 g (1.34 lb / 21.41 oz)
71,Dimensions,135 x 93 x 84 mm (5.31 x 3.66 x 3.31″)
71,GPS,None
72,Body type,SLR-style mirrorless
72,Max resolution,5184 x 3888
72,Effective pixels,20 megapixels
72,Sensor size,Four Thirds (17.4 x 13 mm)
72,Sensor type,CMOS
72,ISO,"Auto, 200-25600 (expands to 64-25600)"
72,Lens mount,Micro Four Thirds
72,Focal length mult.,2×
72,Articulated LCD,Fully articulated
72,Screen size,3″
72,Screen dots,"1,037,000"
72,Max shutter speed,1/8000 sec
72,Format,"MPEG-4, H.264"
72,Storage types,Dual SD/SDHC/SDXC slots (UHS-II on first slot)
72,USB,USB 3.2 Gen 1 (5 GBit/sec)
72,Weight (inc. batteries),580 g (1.28 lb / 20.46 oz)
72,Dimensions,134 x 91 x 69 mm (5.28 x 3.58 x 2.72″)
72,GPS,None
73,Body type,Compact SLR
73,Max resolution,6000 x 4000
73,Effective pixels,24 megapixels
73,Sensor size,APS-C (22.3 x 14.9 mm)
73,Sensor type,CMOS
73,ISO,"Auto, 100-25600 (expands to 51200)"
73,Lens mount,Canon EF/EF-S
73,Focal length mult.,1.6×
73,Articulated LCD,Fully articulated
73,Screen size,3″
73,Screen dots,"1,040,000"
73,Max shutter speed,1/4000 sec
73,Format,"MPEG-4, H.264"
73,Storage types,SD/SDHC/SDXC card (UHS-I supported)
73,USB,USB 2.0 (480 Mbit/sec)
73,Weight (inc. batteries),515 g (1.14 lb / 18.17 oz)
73,Dimensions,131 x 103 x 76 mm (5.16 x 4.06 x 2.99″)
73,GPS,None
74,Body type,Compact
74,Max resolution,4608 x 3456
74,Effective pixels,16 megapixels
74,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
74,Sensor type,BSI-CMOS
74,ISO,"Auto, 125-6400"
74,Focal length (equiv.),28–140 mm
74,Max aperture,F3.5–5.5
74,Articulated LCD,Fixed
74,Screen size,2.7″
74,Screen dots,"230,000"
74,Max shutter speed,1/4000 sec
74,Format,"MPEG-4, H.264"
74,Storage types,Internal + SD/SDHC/SDXC card
74,USB,USB 2.0 (480 Mbit/sec)
74,Weight (inc. batteries),193 g (0.43 lb / 6.81 oz)
74,Dimensions,123 x 62 x 30 mm (4.84 x 2.44 x 1.18″)
74,GPS,None
75,Body type,Large sensor compact
75,Max resolution,6240 x 4160
75,Effective pixels,26 megapixels
75,Sensor size,APS-C (23.5 x 15.6 mm)
75,Sensor type,BSI-CMOS
75,ISO,"Auto, 160-12800 (expands to 80-51200)"
75,Focal length (equiv.),35 mm
75,Max aperture,F2–16
75,Articulated LCD,Tilting
75,Screen size,3″
75,Screen dots,"1,620,000"
75,Max shutter speed,1/4000 sec
75,Format,"MPEG-4, H.264"
75,Storage types,SD/SDHC/SDXC card (UHS-I supported)
75,USB,USB 3.2 Gen 1 (5 GBit/sec)
75,Weight (inc. batteries),478 g (1.05 lb / 16.86 oz)
75,Dimensions,128 x 75 x 53 mm (5.04 x 2.95 x 2.09″)
75,GPS,None
76,Body type,SLR-style mirrorless
76,Max resolution,6000 x 4000
76,Effective pixels,24 megapixels
76,Sensor size,APS-C (23.5 x 15.7 mm)
76,Sensor type,CMOS
76,ISO,"Auto, ISO 200-12800 (expands to 100-51200)"
76,Lens mount,Fujifilm X
76,Focal length mult.,1.5×
76,Articulated LCD,Fully articulated
76,Screen size,3.5″
76,Screen dots,"2,780,000"
76,Max shutter speed,1/4000 sec
76,Format,"MPEG-4, H.264"
76,Storage types,SD/SDHC/SDXC (UHS-I supported)
76,USB,USB 3.2 Gen 1 (5 GBit/sec)
76,Weight (inc. batteries),370 g (0.82 lb / 13.05 oz)
76,Dimensions,121 x 84 x 55 mm (4.76 x 3.31 x 2.17″)
76,GPS,None
77,Body type,Rangefinder-style mirrorless
77,Max resolution,7864 x 5200
77,Effective pixels,41 megapixels
77,Sensor size,Full frame (36 x 24 mm)
77,Sensor type,CMOS
77,ISO,"Auto, 160-100000"
78,Body type,Mid-size SLR
78,Max resolution,6048 x 4024
78,Effective pixels,25 megapixels
78,Sensor size,Full frame (35.9 x 23.9 mm)
78,Sensor type,BSI-CMOS
78,ISO,"Auto, 100-51200 (expands to 50-204800)"
78,Lens mount,Nikon F
78,Focal length mult.,1×
78,Articulated LCD,Tilting
78,Screen size,3.2″
78,Screen dots,"2,359,000"
78,Max shutter speed,1/8000 sec
78,Storage types,Dual SD/SDHC/SDXC slots (UHS-II compatible)
78,USB,USB 3.2 Gen 1 (5 GBit/sec)
78,Weight (inc. batteries),840 g (1.85 lb / 29.63 oz)
78,Dimensions,144 x 116 x 76 mm (5.67 x 4.57 x 2.99″)
78,GPS,None
79,Body type,SLR-like (bridge)
79,Max resolution,4608 x 3456
79,Effective pixels,16 megapixels
79,Sensor size,"1/2.3"" (6.17 x 4.55 mm)"
79,Sensor type,CMOS
79,ISO,"Auto, 100-6400"
79,Focal length (equiv.),24–2000 mm
79,Max aperture,F2.8–6.5
79,Articulated LCD,Fully articulated
79,Screen size,3.2″
79,Screen dots,"921,000"
79,Max shutter speed,1/4000 sec
79,Format,"MPEG-4, H.264"
79,Storage types,SD/SDHC/SDXC
79,USB,USB 2.0 (480 Mbit/sec)
79,Weight (inc. batteries),1005 g (2.22 lb / 35.45 oz)
79,Dimensions,140 x 110 x 150 mm (5.51 x 4.33 x 5.91″)
79,GPS,None
80,Body type,Large SLR
80,Max resolution,5472 x 3648
80,Effective pixels,20 megapixels
80,Sensor size,Full frame (36 x 24 mm)
80,Sensor type,CMOS
80,ISO,"Auto, 100-102400 (expands to 50-819200)"
80,Lens mount,Canon EF
80,Focal length mult.,1×
80,Articulated LCD,Fixed
80,Screen size,3.2″
80,Screen dots,"2,100,000"
80,Max shutter speed,1/8000 sec
80,Format,"MPEG-4, H.264, H.265"
80,Storage types,Dual CFexpress type B
80,USB,USB 3.2 Gen 2 (10 GBit/sec)
80,Weight (inc. batteries),1440 g (3.17 lb / 50.79 oz)
80,Dimensions,158 x 168 x 83 mm (6.22 x 6.61 x 3.27″)
80,GPS,Built-in
81,Body type,SLR-style mirrorless
81,Max resolution,8368 x 5584
81,Effective pixels,47 megapixels
81,Sensor size,Full frame (36 x 24 mm)
81,Sensor type,CMOS
81,ISO,"Auto, 100-50000 (expands to 50-50000)"
81,Lens mount,Leica L
81,Focal length mult.,1×
81,Articulated LCD,Fixed
81,Screen size,3.2″
81,Screen dots,"2,100,000"
81,Max shutter speed,1/8000 sec
81,Format,"MPEG-4, H.264"
81,USB,USB 3.2 Gen 1 (5 GBit/sec)
81,Weight (inc. batteries),916 g (2.02 lb / 32.31 oz)
81,Dimensions,146 x 107 x 83 mm (5.75 x 4.21 x 3.27″)
81,GPS,None
82,Body type,Rangefinder-style mirrorless
82,Max resolution,6240 x 4160
82,Effective pixels,26 megapixels
82,Sensor size,APS-C (23.5 x 15.6 mm)
82,Sensor type,BSI-CMOS
82,ISO,"Auto, 160-12800 (expands to 80-51200)"
82,Lens mount,Fujifilm X
82,Focal length mult.,1.5×
82,Articulated LCD,Tilting
82,Screen size,3″
82,Screen dots,"1,620,000"
82,Format,"MPEG-4, H.264"
82,Storage types,Dual SD/SDHC/SDXC slots (UHS-II support)
82,USB,USB 3.2 Gen 1 (5 GBit/sec)
82,Weight (inc. batteries),497 g (1.10 lb / 17.53 oz)
82,Dimensions,141 x 83 x 46 mm (5.55 x 3.27 x 1.81″)
82,GPS,None
83,Body type,SLR-style mirrorless
83,Max resolution,5184 x 3888
83,Effective pixels,20 megapixels
83,Sensor size,Four Thirds (17.4 x 13 mm)
83,Sensor type,CMOS
83,ISO,"Auto, 200-25600, expands to 64-25600"
83,Lens mount,Micro Four Thirds
83,Focal length mult.,2×
83,Articulated LCD,Fully articulated
83,Screen size,3″
83,Screen dots,"1,040,000"
83,Max shutter speed,1/8000 sec
83,Format,"MPEG-4, H.264"
83,Storage types,SD/SDHC/SDXC (UHS-II supported)
83,USB,USB 2.0 (480 Mbit/sec)
83,Weight (inc. batteries),414 g (0.91 lb / 14.60 oz)
83,Dimensions,125 x 85 x 50 mm (4.92 x 3.35 x 1.97″)
83,GPS,None
84,Body type,Rangefinder-style mirrorless
84,Max resolution,4608 x 3456
84,Effective pixels,16 megapixels
84,Sensor size,Four Thirds (17.3 x 13 mm)
84,Sensor type,CMOS
84,ISO,"Auto, 100-25600"
84,Lens mount,Micro Four Thirds
84,Focal length mult.,2×
84,Articulated LCD,Tilting
84,Screen size,3″
84,Screen dots,"1,037,000"
84,Max shutter speed,1/4000 sec
84,Format,"MPEG-4, H.264"
84,Storage types,SD/SDHC/SDXC card (UHS-I supported)
84,USB,USB 2.0 (480 Mbit/sec)
84,Weight (inc. batteries),380 g (0.84 lb / 13.40 oz)
84,Dimensions,117 x 68 x 39 mm (4.61 x 2.68 x 1.54″)
84,GPS,None
85,Body type,SLR-style mirrorless
85,Max resolution,5568 x 3712
85,Effective pixels,21 megapixels
